DRCOV VERSION: 3
DRCOV FLAVOR: drcov
Module Table: version 5, count 12
Columns: id, containing_id, start, end, entry, offset, preferred_base, checksum, timestamp, path
  0,   0, 0x00ce0000, 0x00cf3000, 0x00ce12a0, 0000000000000000, 0x00ce0000, 0x00018f15, 0x56e72fdb,  B:\mbks\python_2_lab\exe\vuln13.exe
module[ 11]: 0x0004748e,  11
module[ 11]: 0x000476e9,  30
module[ 11]: 0x00047711,  10
module[ 11]: 0x0004771b,  14
module[ 11]: 0x00047730,  26
module[ 11]: 0x00047751,  20
module[ 11]: 0x00047765,  32
module[ 11]: 0x0004779d,  18
module[ 11]: 0x000477b6,  22
module[ 11]: 0x000477cc,  32
module[ 11]: 0x00047804,  18
module[ 11]: 0x0004781d,   9
module[ 11]: 0x00047826,  13
module[ 11]: 0x00047833,   9
module[ 11]: 0x0004783e,  10
module[ 11]: 0x00047848,  17
module[ 11]: 0x00047859,  32
module[ 11]: 0x0004788c,  18
module[ 11]: 0x0004789e,  10
module[ 11]: 0x0004796b,  11
module[ 11]: 0x00047976,  18
module[ 11]: 0x00047988,  12
module[ 11]: 0x00047994,  18
module[ 11]: 0x000479b0,  15
module[ 11]: 0x000479bf,  28
module[ 11]: 0x000479db,   8
module[ 11]: 0x000479e3,  20
module[ 11]: 0x000479f7,  16
module[ 11]: 0x00047a07,  10
module[ 11]: 0x00047a11,  35
module[ 11]: 0x00047a34,  44
module[ 11]: 0x00047a60,  15
module[ 11]: 0x00047a6f,  11
module[ 11]: 0x00047a7a,  29
module[ 11]: 0x00047b72,   8
module[ 11]: 0x00047b7a,   4
module[ 11]: 0x00047b07,  20
module[ 11]: 0x00047b90,   9
module[ 11]: 0x00047c78,  17
module[ 11]: 0x00047d4f,   9
module[ 11]: 0x00047d70,  46
module[ 11]: 0x00047d9e,   5
module[ 11]: 0x00047dab,   8
module[ 11]: 0x00047db3,   9
module[ 11]: 0x00047f8d,  23
module[ 11]: 0x00047fbe,  53
module[ 11]: 0x00047ff3,   4
module[ 11]: 0x00048025,  38
module[ 11]: 0x0004804b,  27
module[ 11]: 0x00048066,  31
module[ 11]: 0x00048085,   7
module[ 11]: 0x00048096,  10
module[ 11]: 0x000480a0,  42
module[ 11]: 0x000480d1,  20
module[ 11]: 0x000480e5,  35
module[ 11]: 0x00048120,  18
module[ 11]: 0x0004813a,  25
module[ 11]: 0x00048153,  35
module[ 11]: 0x0004818e,  18
module[ 11]: 0x000481aa,   9
module[ 11]: 0x000481b3,  13
module[ 11]: 0x000481c0,   9
module[ 11]: 0x000481cb,  11
module[ 11]: 0x000481d6,  15
module[ 11]: 0x000481e5,  35
module[ 11]: 0x00048221,  18
module[ 11]: 0x00048233,  10
module[ 11]: 0x00048301,   4
module[ 11]: 0x00048305,   8
module[ 11]: 0x00048329,  11
module[ 11]: 0x00048334,   6
module[ 11]: 0x0004833a,  14
module[ 11]: 0x00048348,  11
module[ 11]: 0x00048357,  14
module[ 11]: 0x0004836f,  12
module[ 11]: 0x0004837b,  12
module[ 11]: 0x00048397,  23
module[ 11]: 0x000483ae,  13
module[ 11]: 0x000483c5,  10
module[ 11]: 0x000483cf,  26
module[ 11]: 0x000483e9,  34
module[ 11]: 0x0004840b,  10
module[ 11]: 0x00048415,  20
module[ 11]: 0x00048429,  35
module[ 11]: 0x00048464,  21
module[ 11]: 0x00048479,  22
module[ 11]: 0x00048596,  10
module[ 11]: 0x000485a0,  21
module[ 11]: 0x00048943,  13
module[ 11]: 0x00047dd1,  39
module[ 11]: 0x00047e01,  10
module[ 11]: 0x00047e0b,   6
module[ 11]: 0x00047e11,  29
module[ 11]: 0x00047e2e,  13
module[ 11]: 0x00047e3b,  20
module[ 11]: 0x00047e7b,  18
module[ 11]: 0x00047ed6,  12
module[ 11]: 0x00047ee2,  29
module[ 11]: 0x00047f56,  14
module[ 11]: 0x00048daa,  12
module[ 11]: 0x00048dd2,   6
module[ 11]: 0x00048df6,   1
module[ 11]: 0x00048db6,   5
module[ 11]: 0x00043da0,  13
module[ 11]: 0x00043dad,   1
module[ 11]: 0x00048dbb,   4
module[ 11]: 0x00048df7,  10
module[ 11]: 0x00048e20,  23
module[ 11]: 0x00046f8c,   6
module[ 11]: 0x00046f92,  14
module[ 11]: 0x00047018,  19
module[ 11]: 0x00047045,  14
module[ 11]: 0x000470e6,  12
module[ 11]: 0x0004712d,  13
module[ 11]: 0x00045f2e,   7
module[  9]: 0x0013c99c,  10
module[  9]: 0x0013c9a6,  21
module[  9]: 0x0013c9bb,   7
module[ 11]: 0x00065d80,  19
module[ 11]: 0x00065d93,  14
module[  9]: 0x0013c9c2,  15
module[ 11]: 0x00042490,  32
module[ 11]: 0x000424b0,   9
module[  9]: 0x0013c9d1,   4
module[  9]: 0x0013c9d5,  22
module[  9]: 0x0013c9eb,   6
module[  9]: 0x0013c9f1,  32
module[ 11]: 0x00042630,  29
module[ 11]: 0x0004264d,   7
module[  9]: 0x0013ca11,   7
module[ 11]: 0x000653c0,  20
module[ 11]: 0x000653d4,  21
module[  9]: 0x0013ca18,   6
module[  9]: 0x0013ca1e,  11
module[  0]: 0x000011b8,   8
module[  0]: 0x00001ac0,  28
module[  0]: 0x00001adc,  13
module[  0]: 0x00001ae9,  12
module[  0]: 0x00001af5,  12
module[  0]: 0x00001b01,  15
module[  0]: 0x00001b10,  15
module[  0]: 0x00001b1f,  15
module[  0]: 0x00001b2e,  15
module[  0]: 0x00001b3d,  12
module[  0]: 0x00001b49,  12
module[  0]: 0x00001b83,  12
module[  0]: 0x00001b55,  14
module[  0]: 0x00001b63,  11
module[  0]: 0x00001b6e,   8
module[  0]: 0x00001b80,   3
module[  0]: 0x000011c0,   5
module[  0]: 0x00001ba0,   3
module[  0]: 0x000011c5,   5
module[  0]: 0x000017b0,  22
module[  0]: 0x000017c6,   5
module[  0]: 0x00008480,   6
module[  8]: 0x00022180,   6
module[  9]: 0x00141cf0,   6
module[  0]: 0x000017cb,  13
module[  0]: 0x000082f0,   6
module[ 10]: 0x000897f0,  12
module[ 10]: 0x00089820,  24
module[ 10]: 0x00089838,   7
module[ 10]: 0x0008983f,   4
module[ 10]: 0x00089843,   7
module[ 10]: 0x0008984a,   7
module[ 10]: 0x00089853,  10
module[  0]: 0x000017d8,  12
module[  0]: 0x000022a0,  13
module[  0]: 0x000022c2,   8
module[  0]: 0x000017e4,  81
module[  0]: 0x00001835,   9
module[  0]: 0x0000183e,   6
module[  0]: 0x00001930,   9
module[  0]: 0x00001939,   5
module[  0]: 0x0000193e,   5
module[  0]: 0x00001995,  16
module[  0]: 0x00001a9f,   8
module[  0]: 0x000019b0,   7
module[  0]: 0x000019b7,   8
module[  0]: 0x00008360,   6
module[ 10]: 0x000300e0,  14
module[ 10]: 0x000300ee,  10
module[ 10]: 0x000300f8,  17
module[  0]: 0x000019bf,   4
module[  0]: 0x00001a10,  15
module[  0]: 0x00001827,  14
module[  0]: 0x00001844,   9
module[  0]: 0x0000184d,   9
module[  0]: 0x00001856,   9
module[  0]: 0x00001a78,   8
module[  0]: 0x000019a5,  11
module[  0]: 0x000018b0,  11
module[  0]: 0x00001aaf,   7
module[  0]: 0x000018cb,   7
module[  0]: 0x000018d2,   5
module[  0]: 0x000018d7,  36
module[  0]: 0x00002ed0,  22
module[  0]: 0x00002ee6,   8
module[  0]: 0x00002f23,   9
module[  0]: 0x00002eee,   8
module[  0]: 0x00002ef6,   7
module[  0]: 0x00002570,  13
module[  0]: 0x0000257d,  21
module[  0]: 0x00008350,   6
module[ 10]: 0x000474f0,  14
module[ 10]: 0x00047509,  13
module[ 10]: 0x00047516,  13
module[ 10]: 0x0004753b,  10
module[ 10]: 0x00047545,   4
module[ 10]: 0x00047549,   4
module[ 10]: 0x00047571,  15
module[ 11]: 0x00046f4f,   7
module[ 11]: 0x00046f5a,   9
module[ 11]: 0x00046f65,   8
module[ 11]: 0x00046f75,  23
module[ 11]: 0x000473ad,  12
module[ 11]: 0x000473b9,  39
module[ 11]: 0x000473e0,  31
module[ 11]: 0x000473ff,   8
module[ 11]: 0x00047407,  10
module[ 11]: 0x00047411,  12
module[ 11]: 0x0004748b,  14
module[ 11]: 0x00047499,  10
module[ 11]: 0x00047707,  10
module[ 11]: 0x00047724,   5
module[ 11]: 0x00047816,   7
module[ 11]: 0x00047a17,  29
module[ 11]: 0x00047a63,  12
module[ 11]: 0x00047a97,   9
module[ 11]: 0x00047aa0,  15
module[ 11]: 0x00047aaf,  32
module[ 11]: 0x00047ae8,  19
module[ 11]: 0x00047b40,  50
module[ 11]: 0x0004808c,  10
module[ 11]: 0x000480a9,  33
module[ 11]: 0x000481a0,  10
module[ 11]: 0x000483bb,  10
module[ 11]: 0x000483d8,  17
module[ 11]: 0x0004840e,   7
module[ 11]: 0x0004848f,  30
module[ 11]: 0x00047e4f,  32
module[ 11]: 0x00047e75,  24
module[ 10]: 0x00047580,   6
module[ 10]: 0x000475bd,   6
module[ 10]: 0x000475d7,   3
module[  0]: 0x00002592,  14
module[  0]: 0x000025a0,  13
module[  0]: 0x000025ad,   5
module[  0]: 0x000025b5,  15
module[  0]: 0x000025c4,  10
module[  0]: 0x00002efd,  21
module[  0]: 0x00002920,  25
module[  0]: 0x00002939,  14
module[  0]: 0x00002947,  22
module[  0]: 0x00008340,   6
module[ 10]: 0x00088cf0,  24
module[ 10]: 0x00088d10,   8
module[ 10]: 0x00088d37,   8
module[ 10]: 0x00088d3f,  11
module[ 10]: 0x00088d4a,   9
module[ 10]: 0x00088e74,   7
module[  0]: 0x0000295d,   8
module[  0]: 0x00002fd0,  32
module[  0]: 0x00008318,   6
module[ 10]: 0x00056330,  12
module[ 10]: 0x0005633c,  11
module[ 10]: 0x00056366,   5
module[ 10]: 0x00066894,   8
module[ 10]: 0x000668ae,  10
module[  9]: 0x00112540,  10
module[ 10]: 0x000668b8,  14
module[  9]: 0x0010e710,  27
module[ 11]: 0x0005be00,  24
module[ 11]: 0x0005be18,   7
module[ 11]: 0x0005be1f,   4
module[ 11]: 0x0005be23,  17
module[ 11]: 0x0005be34,   8
module[ 11]: 0x0005be3c,  13
module[  9]: 0x0010e72b,   4
module[  9]: 0x0010e72f,  17
module[ 10]: 0x000668c6,   6
module[ 10]: 0x00066909,   7
module[ 11]: 0x0005aed0,  41
module[ 11]: 0x0005aef9,   5
module[ 11]: 0x0005af0f,  10
module[ 11]: 0x0005af19,   9
module[ 11]: 0x0005aefe,  11
module[ 11]: 0x000751c0,   8
module[ 11]: 0x000751c8,   3
module[ 11]: 0x0005af09,   6
module[ 10]: 0x00066910,   5
module[ 10]: 0x0006689c,   6
module[ 10]: 0x000668aa,   4
module[ 10]: 0x0005636b,  10
module[ 10]: 0x00055591,  12
module[ 10]: 0x0005559d,   9
module[ 10]: 0x000555a6,   6
module[ 10]: 0x000555ac,   9
module[ 10]: 0x000555b5,   5
module[ 10]: 0x000555c2,   7
module[ 10]: 0x00066dd0,  19
module[ 10]: 0x00066df6,  13
module[ 11]: 0x00040040,  28
module[ 11]: 0x0004005c,  21
module[ 10]: 0x00066e03,   3
module[ 10]: 0x000555c9,  17
module[ 10]: 0x000562da,  13
module[ 10]: 0x000562e7,   7
module[ 10]: 0x000562ee,   7
module[ 10]: 0x0005631d,   5
module[ 10]: 0x00056324,   3
module[ 10]: 0x000555da,  19
module[ 10]: 0x000555f2,   7
